"","variable","label","type","range","missing","distribution"
"ParticipantNumber","ParticipantNumber","Unique participant ID","tiny_labelled, factor","153",0,""
"Location","Location","Data collection site (Cologne, Ghent, Harvard)","tiny_labelled, factor","3",0,""
"Block","Block","Block of learning procedure (2)","tiny_labelled, factor","1",0,""
"ValenceBlock","ValenceBlock","Order of valence of behavior description (Positive-negative vs. Negative-positive)","tiny_labelled, factor","2",0,""
"NumbercorrectIdent","NumbercorrectIdent","Number of correct responses in recognition test for briefly flashed words (0-20)","tiny_labelled, integer","",0,"▂▃▇▂▁▂▁▁"
"chosenItems","chosenItems","Comma-separated list of the words identified by the participant as 'old' in the recognition test for briefly flashed words","tiny_labelled, character","153",0,""
"correctList","correctList","Comma-separated list indicating for each of the words identified as 'old' in the recognition test whether it was indeed old (correctIdent) or new (falseIdent)","tiny_labelled, character","153",0,""
"MeasureOrder","MeasureOrder","Order of attitude measures (Implicit-explicit vs. Explicit-implicit)","tiny_labelled, factor","2",0,""
"computerName","computerName","Computer used for participation","tiny_labelled, character","4",0,""
"timeStamp","timeStamp","Time of participation [YYYY-MM-DD_HH.MM.SS.SSSSSS]","tiny_labelled, character","153",0,""
"Age","Age","Age in years","tiny_labelled, numeric","[17, 64]",0,"▇▂▁▁▁▁▁▁"
"Study","Study","Field of study","tiny_labelled, character","98",0,""
"Gender","Gender","Gender (male, female, nonbinary)","tiny_labelled, character","3",0,""
"Goal","Goal","Participants' guess of the study's goal in their own words","tiny_labelled, character","149",0,""
"Comment","Comment","Participants' comments in their own words","tiny_labelled, character","48",4,""
"frameRate","frameRate","Frame rate [Hz]","tiny_labelled, numeric","[74, 85]",0,"▇▁▁▁▁▁▁▅"
"Accuracy","Accuracy","Relative frequency of correct responses in recognition test for briefly flashed words (0-1)","tiny_labelled, numeric","[0.35, 0.9]",0,"▂▃▇▂▁▂▁▁"
